,Generation,color -- streamlit-generated,value -- streamlit-generated
0,0,Actual TTK,1689.03
1,1,Actual TTK,1676.25
2,2,Actual TTK,1432.5
3,3,Actual TTK,1320.11
4,4,Actual TTK,1203.82
5,5,Actual TTK,1203.82
6,6,Actual TTK,1135
7,7,Actual TTK,1089.05
8,8,Actual TTK,1038.83
9,9,Actual TTK,1002.59
10,10,Actual TTK,932.85
11,11,Actual TTK,899.33
12,12,Actual TTK,836.95
13,13,Actual TTK,819.76
14,14,Actual TTK,781.69
15,15,Actual TTK,749.72
16,16,Actual TTK,692.36
17,17,Actual TTK,672.36
18,18,Actual TTK,649.64
19,19,Actual TTK,609.15
20,20,Actual TTK,582.71
21,21,Actual TTK,557.8
22,22,Actual TTK,527.37
23,23,Actual TTK,508.86
24,24,Actual TTK,478.56
25,25,Actual TTK,466.56
26,26,Actual TTK,460.39
27,27,Actual TTK,439.97
28,28,Actual TTK,417.22
29,29,Actual TTK,397.86
30,30,Actual TTK,397.86
31,31,Actual TTK,382.86
32,32,Actual TTK,367.57
33,33,Actual TTK,363.6
34,34,Actual TTK,340.69
35,35,Actual TTK,334.15
36,36,Actual TTK,328.79
37,37,Actual TTK,317.86
38,38,Actual TTK,306.04
39,39,Actual TTK,280.36
40,40,Actual TTK,280.36
41,41,Actual TTK,276.36
42,42,Actual TTK,269.66
43,43,Actual TTK,258.14
44,44,Actual TTK,252.89
45,45,Actual TTK,243.72
46,46,Actual TTK,236.86
47,47,Actual TTK,235.54
48,48,Actual TTK,228.56
49,49,Actual TTK,223.18
50,50,Actual TTK,215.48
51,51,Actual TTK,212.49
52,52,Actual TTK,207.17
53,53,Actual TTK,203.66
54,54,Actual TTK,196.92
55,55,Actual TTK,194.77
56,56,Actual TTK,191.07
57,57,Actual TTK,187.79
58,58,Actual TTK,179.84
59,59,Actual TTK,173.57
60,60,Actual TTK,172.16
61,61,Actual TTK,167.17
62,62,Actual TTK,164.4
63,63,Actual TTK,161.7
64,64,Actual TTK,157.18
65,65,Actual TTK,153.35
66,66,Actual TTK,149.72
67,67,Actual TTK,149.72
68,68,Actual TTK,145.41
69,69,Actual TTK,143.41
70,70,Actual TTK,141.55
71,71,Actual TTK,137.44
72,72,Actual TTK,135.55
73,73,Actual TTK,132.61
74,74,Actual TTK,130.7
75,75,Actual TTK,130.7
76,76,Actual TTK,129.2
77,77,Actual TTK,126.83
78,78,Actual TTK,123.58
79,79,Actual TTK,120.76
80,80,Actual TTK,119.56
81,81,Actual TTK,115.4
82,82,Actual TTK,113.84
83,83,Actual TTK,111.18
84,84,Actual TTK,109.55
85,85,Actual TTK,106.16
86,86,Actual TTK,104.16
87,87,Actual TTK,104.16
88,88,Actual TTK,101.31
89,89,Actual TTK,99.73
90,90,Actual TTK,98.53
91,91,Actual TTK,97.12
92,92,Actual TTK,95.12
93,93,Actual TTK,93.76
94,94,Actual TTK,91.46
95,95,Actual TTK,90.73
96,96,Actual TTK,88.22
97,97,Actual TTK,86.89
98,98,Actual TTK,85.79
99,99,Actual TTK,84.38
100,100,Actual TTK,83.31
101,101,Actual TTK,83.31
102,102,Actual TTK,81.31
103,103,Actual TTK,81.31
104,104,Actual TTK,79.71
105,105,Actual TTK,77.98
106,106,Actual TTK,76.89
107,107,Actual TTK,75.76
108,108,Actual TTK,73.76
109,109,Actual TTK,73.76
110,110,Actual TTK,71.53
111,111,Actual TTK,71.53
112,112,Actual TTK,70.37
113,113,Actual TTK,69.63
114,114,Actual TTK,68.02
115,115,Actual TTK,67.54
116,116,Actual TTK,67.54
117,117,Actual TTK,65.74
118,118,Actual TTK,65.15
119,119,Actual TTK,64.64
120,120,Actual TTK,64.52
121,121,Actual TTK,63.69
122,122,Actual TTK,63.22
123,123,Actual TTK,62.14
124,124,Actual TTK,61.07
125,125,Actual TTK,60.86
126,126,Actual TTK,59.24
127,127,Actual TTK,59.08
128,128,Actual TTK,58.1
129,129,Actual TTK,57.47
130,130,Actual TTK,57.36
131,131,Actual TTK,56.82
132,132,Actual TTK,56.35
133,133,Actual TTK,56.21
